USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
NC	37001	01008531	Alamance County	1096735775	27940817	423.452	10.788	36.043954	-79.400573                                                                                                               
NC	37003	01008532	Alexander County	673358184	9445988	259.985	3.647	35.920951	-81.177467                                                                                                                 
NC	37005	01008533	Alleghany County	608220280	3687222	234.835	1.424	36.489356	-81.132299                                                                                                                 
NC	37007	01008534	Anson County	1376478143	14603213	531.461	5.638	34.974972	-80.109763                                                                                                                   
NC	37009	01008535	Ashe County	1104018852	8062960	426.264	3.113	36.443469	-81.499334                                                                                                                     
NC	37011	01008536	Avery County	640602137	445285	247.338	0.172	36.07209	-81.920285                                                                                                                       
NC	37013	01026333	Beaufort County	2156776424	336988229	832.736	130.112	35.482313	-76.842014                                                                                                             
NC	37015	01026334	Bertie County	1810858588	109120751	699.176	42.132	36.059043	-76.962364                                                                                                                
NC	37017	01026336	Bladen County	2266321541	33022256	875.032	12.75	34.591938	-78.539489                                                                                                                  
NC	37019	01026340	Brunswick County	2201703879	516599618	850.083	199.46	34.038754	-78.227765                                                                                                             
NC	37021	01008538	Buncombe County	1700318978	8942802	656.497	3.453	35.609371	-82.530423                                                                                                                 
NC	37023	01008539	Burke County	1311146879	20719897	506.237	8.	35.746182	-81.70618                                                                                                                       
NC	37025	01008540	Cabarrus County	935587407	6985702	361.232	2.697	35.388346	-80.552728                                                                                                                  
NC	37027	01008541	Caldwell County	1222184251	7052759	471.888	2.723	35.966396	-81.51254                                                                                                                  
NC	37029	01026335	Camden County	622452109	181109482	240.33	69.927	36.342344	-76.162488                                                                                                                  
NC	37031	01026337	Carteret County	1314689449	2131061128	507.604	822.807	34.858343	-76.53586                                                                                                             
NC	37033	01008542	Caswell County	1101694783	8641803	425.367	3.337	36.394298	-79.339609                                                                                                                  
NC	37035	01008543	Catawba County	1039553245	37942736	401.374	14.65	35.661883	-81.214906                                                                                                                 
NC	37037	01008544	Chatham County	1765540358	70582736	681.679	27.252	35.704994	-79.251454                                                                                                                
NC	37039	01008545	Cherokee County	1179845613	28813485	455.541	11.125	35.13715	-84.061449                                                                                                                
NC	37041	01025822	Chowan County	447179939	157966156	172.657	60.991	36.128979	-76.602752                                                                                                                 
NC	37043	01008546	Clay County	556804503	15017755	214.983	5.798	35.052997	-83.752264                                                                                                                     
NC	37045	01008547	Cleveland County	1202400603	10177696	464.249	3.93	35.33463	-81.557114                                                                                                                 
NC	37047	01026339	Columbus County	2429722353	43711694	938.121	16.877	34.261602	-78.639308                                                                                                               
NC	37049	01026123	Craven County	1830014545	172777667	706.573	66.71	35.116829	-77.08132                                                                                                                  
NC	37051	01026124	Cumberland County	1690112815	15336702	652.556	5.922	35.050192	-78.828719                                                                                                              
NC	37053	01026125	Currituck County	678341928	685097880	261.909	264.518	36.372174	-75.941224                                                                                                             
NC	37055	01026133	Dare County	992558307	3000513520	383.229	1158.505	35.606269	-75.767536                                                                                                                
NC	37057	01008548	Davidson County	1432724907	37608507	553.178	14.521	35.795131	-80.207107                                                                                                               
NC	37059	01008549	Davie County	682977540	7511429	263.699	2.9	35.929355	-80.542552                                                                                                                       
NC	37061	01026132	Duplin County	2110115795	14237879	814.72	5.497	34.934403	-77.933543                                                                                                                   
NC	37063	01008550	Durham County	742095312	29365150	286.525	11.338	36.033828	-78.878125                                                                                                                  
NC	37065	01008551	Edgecombe County	1309074148	3705924	505.436	1.431	35.917077	-77.602742                                                                                                                
NC	37067	01008552	Forsyth County	1056328480	11658537	407.851	4.501	36.132466	-80.256961                                                                                                                 
NC	37069	01008553	Franklin County	1273761673	7173998	491.802	2.77	36.088241	-78.28309                                                                                                                   
NC	37071	01008554	Gaston County	921392674	20546046	355.752	7.933	35.293344	-81.177256                                                                                                                   
NC	37073	01026126	Gates County	882181709	13292008	340.612	5.132	36.442135	-76.702355                                                                                                                    
NC	37075	01008555	Graham County	756189029	25057776	291.966	9.675	35.348364	-83.830915                                                                                                                   
NC	37077	01008556	Granville County	1377850210	14503653	531.991	5.6	36.299884	-78.657634                                                                                                                 
