County,Date Range,up_county,age_0_1,age_0_1-1,age_0_1-2,age_0_17,age_0_17-1,age_0_17-2,age_10_14,age_10_14-1,age_10_14-2,age_15_17,age_15_17-1,age_15_17-2,age_18_24,age_18_24-1,age_18_24-2,age_25_49,age_25_49-1,age_25_49-2,age_2_4,age_2_4-1,age_2_4-2,age_50_64,age_50_64-1,age_50_64-2,age_5_9,age_5_9-1,age_5_9-2,age_65_74,age_65_74-1,age_65_74-2,age_75_up,age_75_up-1,age_75_up-2,ai_an_pop,ai_an_pop-1,ai_an_pop-2,asian_pi_pop,asian_pi_pop-1,asian_pi_pop-2,black_pop,black_pop-1,black_pop-2,female_pop,female_pop-1,female_pop-2,hispanic_pop,hispanic_pop-1,hispanic_pop-2,Last 14 Days Cases,"Last 14 Days Cases Per 10,000 Residents","Last 14 Days Cases Per 100,000 Residents",Last 7 Day Cases,"Last 7 Days Cases Per 10,000 Residents","Last 7 Days Cases Per 100,000 Residents",male_pop,male_pop-1,male_pop-2,nonhisp_pop,nonhisp_pop-1,nonhisp_pop-2,Prior Day Cases,"Prior Day Cases Per 10,000 Residents","Prior Day Cases Per 100,000 Residents",white_pop,white_pop-1,white_pop-2
New Hanover,Today,NEW HANOVER COUNTY,4386,4386,4386,42661,42661,42661,12399,12399,12399,7412,7412,7412,29390,29390,29390,74725,74725,74725,6724,6724,6724,44550,44550,44550,11740,11740,11740,26066,26066,26066,17081,17081,17081,1471,1471,1471,4460,4460,4460,33034,33034,33034,122910,122910,122910,13610,13610,13610,41,2,17,14,1,6,111563,111563,111563,220863,220863,220863,4,0,2,195508,195508,195508
Surry,Today,SURRY COUNTY,1482,1482,1482,14972,14972,14972,4478,4478,4478,2747,2747,2747,5614,5614,5614,20806,20806,20806,2322,2322,2322,15427,15427,15427,3943,3943,3943,8532,8532,8532,6432,6432,6432,495,495,495,681,681,681,3330,3330,3330,36828,36828,36828,7963,7963,7963,16,2,22,6,1,8,34955,34955,34955,63820,63820,63820,2,0,3,67277,67277,67277
Robeson,Today,ROBESON COUNTY,3318,3318,3318,32200,32200,32200,9360,9360,9360,5218,5218,5218,13200,13200,13200,40072,40072,40072,5259,5259,5259,24588,24588,24588,9045,9045,9045,12776,12776,12776,7789,7789,7789,56681,56681,56681,1172,1172,1172,31768,31768,31768,67702,67702,67702,12048,12048,12048,108,8,83,48,4,37,62923,62923,62923,118577,118577,118577,11,1,8,41004,41004,41004
Person,Today,PERSON COUNTY,841,841,841,8129,8129,8129,2337,2337,2337,1497,1497,1497,2913,2913,2913,11585,11585,11585,1244,1244,1244,8925,8925,8925,2210,2210,2210,4743,4743,4743,3195,3195,3195,360,360,360,211,211,211,10974,10974,10974,20397,20397,20397,1785,1785,1785,34,9,86,20,5,51,19093,19093,19093,37705,37705,37705,7,2,18,27945,27945,27945
Alamance,Today,ALAMANCE COUNTY,4006,4006,4006,37364,37364,37364,10702,10702,10702,6471,6471,6471,17888,17888,17888,51738,51738,51738,5943,5943,5943,33484,33484,33484,10242,10242,10242,16352,16352,16352,12683,12683,12683,2582,2582,2582,3416,3416,3416,36814,36814,36814,88976,88976,88976,22130,22130,22130,99,6,58,44,3,26,80533,80533,80533,147379,147379,147379,5,0,3,126697,126697,126697
Wilson,Today,WILSON COUNTY,1924,1924,1924,18577,18577,18577,5481,5481,5481,3262,3262,3262,7081,7081,7081,24315,24315,24315,2905,2905,2905,16491,16491,16491,5005,5005,5005,9062,9062,9062,6275,6275,6275,589,589,589,1221,1221,1221,33787,33787,33787,43018,43018,43018,8819,8819,8819,59,7,72,35,4,43,38783,38783,38783,72982,72982,72982,10,1,12,46204,46204,46204
Union,Today,UNION COUNTY,4957,4957,4957,63243,63243,63243,20221,20221,20221,12928,12928,12928,22138,22138,22138,75448,75448,75448,8394,8394,8394,47796,47796,47796,16743,16743,16743,19160,19160,19160,12074,12074,12074,1697,1697,1697,9443,9443,9443,31275,31275,31275,121704,121704,121704,27515,27515,27515,89,4,37,42,2,18,118155,118155,118155,212344,212344,212344,7,0,3,197444,197444,197444
Lincoln,Today,LINCOLN COUNTY,1711,1711,1711,18130,18130,18130,5371,5371,5371,3376,3376,3376,6250,6250,6250,26543,26543,26543,2737,2737,2737,19732,19732,19732,4935,4935,4935,9543,9543,9543,5913,5913,5913,440,440,440,865,865,865,5290,5290,5290,43360,43360,43360,6480,6480,6480,14,2,16,10,1,12,42751,42751,42751,79631,79631,79631,4,0,5,79516,79516,79516
Lenoir,Today,LENOIR COUNTY,1246,1246,1246,12526,12526,12526,3772,3772,3772,2183,2183,2183,4445,4445,4445,15782,15782,15782,1902,1902,1902,11893,11893,11893,3423,3423,3423,6541,6541,6541,4762,4762,4762,398,398,398,577,577,577,23620,23620,23620,29212,29212,29212,4422,4422,4422,39,7,70,9,2,16,26737,26737,26737,51527,51527,51527,2,0,4,31354,31354,31354
Clay,Today,CLAY COUNTY,184,184,184,1879,1879,1879,555,555,555,358,358,358,657,657,657,2578,2578,2578,307,307,307,2536,2536,2536,475,475,475,2143,2143,2143,1438,1438,1438,79,79,79,62,62,62,198,198,198,5772,5772,5772,434,434,434,80,71,712,54,48,481,5459,5459,5459,10797,10797,10797,0,0,0,10892,10892,10892
McDowell,Today,MCDOWELL COUNTY,881,881,881,9139,9139,9139,2786,2786,2786,1619,1619,1619,3381,3381,3381,13806,13806,13806,1401,1401,1401,9913,9913,9913,2452,2452,2452,5591,5591,5591,3926,3926,3926,395,395,395,528,528,528,2142,2142,2142,22958,22958,22958,2920,2920,2920,1,0,2,7,2,15,22798,22798,22798,42836,42836,42836,3,1,7,42691,42691,42691
Davidson,Today,DAVIDSON COUNTY,3506,3506,3506,36324,36324,36324,10836,10836,10836,6596,6596,6596,12768,12768,12768,50744,50744,50744,5694,5694,5694,36684,36684,36684,9692,9692,9692,18239,18239,18239,12850,12850,12850,1439,1439,1439,3065,3065,3065,17715,17715,17715,85618,85618,85618,12450,12450,12450,63,4,38,22,1,13,81991,81991,81991,155159,155159,155159,0,0,0,145390,145390,145390
Stanly,Today,STANLY COUNTY,1404,1404,1404,13524,13524,13524,3914,3914,3914,2342,2342,2342,5084,5084,5084,19067,19067,19067,2224,2224,2224,13008,13008,13008,3640,3640,3640,7022,7022,7022,5101,5101,5101,301,301,301,1470,1470,1470,7516,7516,7516,31451,31451,31451,2786,2786,2786,9,1,14,5,1,8,31355,31355,31355,60020,60020,60020,1,0,2,53519,53519,53519
Lee,Today,LEE COUNTY,1559,1559,1559,14643,14643,14643,4252,4252,4252,2437,2437,2437,5032,5032,5032,19335,19335,19335,2327,2327,2327,12365,12365,12365,4068,4068,4068,6091,6091,6091,4313,4313,4313,896,896,896,1052,1052,1052,12917,12917,12917,31638,31638,31638,12105,12105,12105,18,3,29,13,2,21,30141,30141,30141,49674,49674,49674,1,0,2,46914,46914,46914
Chatham,Today,CHATHAM COUNTY,1375,1375,1375,14809,14809,14809,4557,4557,4557,2731,2731,2731,4656,4656,4656,20165,20165,20165,2198,2198,2198,16206,16206,16206,3948,3948,3948,10562,10562,10562,8072,8072,8072,901,901,901,1886,1886,1886,9711,9711,9711,38853,38853,38853,9026,9026,9026,2,0,3,0,0,0,35617,35617,35617,65444,65444,65444,0,0,0,61972,61972,61972
Martin,Today,MARTIN COUNTY,496,496,496,4523,4523,4523,1314,1314,1314,763,763,763,1572,1572,1572,5937,5937,5937,733,733,733,5036,5036,5036,1217,1217,1217,3173,3173,3173,2199,2199,2199,130,130,130,169,169,169,9631,9631,9631,11896,11896,11896,916,916,916,26,12,116,10,4,45,10544,10544,10544,21524,21524,21524,2,1,9,12510,12510,12510
Tyrrell,Today,TYRRELL COUNTY,76,76,76,728,728,728,226,226,226,111,111,111,298,298,298,1365,1365,1365,113,113,113,815,815,815,202,202,202,432,432,432,378,378,378,38,38,38,82,82,82,1583,1583,1583,1749,1749,1749,376,376,376,1,2,25,0,0,0,2267,2267,2267,3640,3640,3640,0,0,0,2313,2313,2313
Greene,Today,GREENE COUNTY,440,440,440,4185,4185,4185,1291,1291,1291,707,707,707,1782,1782,1782,7248,7248,7248,607,607,607,4262,4262,4262,1140,1140,1140,2219,2219,2219,1373,1373,1373,483,483,483,184,184,184,7891,7891,7891,9529,9529,9529,3308,3308,3308,8,4,38,1,0,5,11540,11540,11540,17761,17761,17761,0,0,0,12511,12511,12511
Cumberland,Today,CUMBERLAND COUNTY,10538,10538,10538,82854,82854,82854,21712,21712,21712,12391,12391,12391,44179,44179,44179,114650,114650,114650,14719,14719,14719,52889,52889,52889,23494,23494,23494,24275,24275,24275,16662,16662,16662,7126,7126,7126,12184,12184,12184,139075,139075,139075,169070,169070,169070,40572,40572,40572,245,7,73,107,3,32,166439,166439,166439,294937,294937,294937,13,0,4,177124,177124,177124
Washington,Today,WASHINGTON COUNTY,243,243,243,2306,2306,2306,675,675,675,400,400,400,852,852,852,2875,2875,2875,352,352,352,2615,2615,2615,636,636,636,1698,1698,1698,1234,1234,1234,114,114,114,52,52,52,5816,5816,5816,6112,6112,6112,653,653,653,11,9,95,3,3,26,5468,5468,5468,10927,10927,10927,2,2,17,5598,5598,5598
Camden,Today,CAMDEN COUNTY,208,208,208,2460,2460,2460,781,781,781,452,452,452,725,725,725,3468,3468,3468,332,332,332,2381,2381,2381,687,687,687,1055,1055,1055,778,778,778,65,65,65,256,256,256,1385,1385,1385,5441,5441,5441,327,327,327,9,8,83,6,6,55,5426,5426,5426,10540,10540,10540,1,1,9,9161,9161,9161
Mitchell,Today,MITCHELL COUNTY,283,283,283,2735,2735,2735,800,800,800,493,493,493,944,944,944,4164,4164,4164,439,439,439,3311,3311,3311,720,720,720,2145,2145,2145,1665,1665,1665,145,145,145,134,134,134,181,181,181,7572,7572,7572,923,923,923,5,3,33,1,1,7,7392,7392,7392,14041,14041,14041,0,0,0,14504,14504,14504
Wake,Today,WAKE COUNTY,25883,25883,25883,262706,262706,262706,77083,77083,77083,46082,46082,46082,100823,100823,100823,411746,411746,411746,41353,41353,41353,202622,202622,202622,72305,72305,72305,83002,83002,83002,50862,50862,50862,9536,9536,9536,89941,89941,89941,243367,243367,243367,570996,570996,570996,115531,115531,115531,287,3,26,149,1,13,540765,540765,540765,996230,996230,996230,28,0,3,768917,768917,768917
Sampson,Today,SAMPSON COUNTY,1652,1652,1652,15450,15450,15450,4385,4385,4385,2730,2730,2730,5262,5262,5262,18665,18665,18665,2490,2490,2490,12517,12517,12517,4193,4193,4193,6729,6729,6729,4908,4908,4908,2540,2540,2540,639,639,639,17429,17429,17429,32286,32286,32286,13057,13057,13057,73,11,115,28,4,44,31245,31245,31245,50474,50474,50474,6,1,9,42923,42923,42923
Chowan,Today,CHOWAN COUNTY,280,280,280,2779,2779,2779,832,832,832,504,504,504,960,960,960,3642,3642,3642,420,420,420,3041,3041,3041,743,743,743,2019,2019,2019,1502,1502,1502,66,66,66,155,155,155,4904,4904,4904,7311,7311,7311,522,522,522,0,0,0,0,0,0,6632,6632,6632,13421,13421,13421,0,0,0,8818,8818,8818
Cleveland,Today,CLEVELAND COUNTY,2234,2234,2234,21443,21443,21443,6343,6343,6343,3728,3728,3728,8645,8645,8645,28635,28635,28635,3348,3348,3348,20649,20649,20649,5790,5790,5790,11078,11078,11078,7497,7497,7497,400,400,400,1155,1155,1155,21187,21187,21187,50854,50854,50854,3690,3690,3690,61,6,62,13,1,13,47093,47093,47093,94257,94257,94257,0,0,0,75205,75205,75205
Beaufort,Today,BEAUFORT COUNTY,904,904,904,9325,9325,9325,2749,2749,2749,1766,1766,1766,3257,3257,3257,12689,12689,12689,1355,1355,1355,10185,10185,10185,2551,2551,2551,6902,6902,6902,4636,4636,4636,497,497,497,318,318,318,11994,11994,11994,24672,24672,24672,3769,3769,3769,40,9,85,15,3,32,22322,22322,22322,43225,43225,43225,2,0,4,34185,34185,34185
Vance,Today,VANCE COUNTY,1125,1125,1125,10443,10443,10443,3006,3006,3006,1775,1775,1775,3771,3771,3771,12839,12839,12839,1630,1630,1630,8995,8995,8995,2907,2907,2907,4992,4992,4992,3495,3495,3495,476,476,476,394,394,394,23356,23356,23356,23755,23755,23755,3675,3675,3675,3,1,7,0,0,0,20780,20780,20780,40860,40860,40860,0,0,0,20309,20309,20309
Davie,Today,DAVIE COUNTY,784,784,784,8945,8945,8945,2694,2694,2694,1717,1717,1717,3136,3136,3136,11973,11973,11973,1302,1302,1302,9513,9513,9513,2448,2448,2448,5229,5229,5229,4050,4050,4050,304,304,304,421,421,421,3047,3047,3047,21924,21924,21924,3107,3107,3107,12,3,28,6,1,14,20922,20922,20922,39739,39739,39739,0,0,0,39074,39074,39074
Pender,Today,PENDER COUNTY,1342,1342,1342,14002,14002,14002,4104,4104,4104,2446,2446,2446,4295,4295,4295,19378,19378,19378,2236,2236,2236,13669,13669,13669,3874,3874,3874,7251,7251,7251,4465,4465,4465,649,649,649,561,561,561,9744,9744,9744,31660,31660,31660,4742,4742,4742,12,2,19,4,1,6,31400,31400,31400,58318,58318,58318,0,0,0,52106,52106,52106
Watauga,Today,WATAUGA COUNTY,777,777,777,7155,7155,7155,2157,2157,2157,1210,1210,1210,15618,15618,15618,14517,14517,14517,1092,1092,1092,9658,9658,9658,1919,1919,1919,5645,5645,5645,3584,3584,3584,258,258,258,736,736,736,1259,1259,1259,28185,28185,28185,2261,2261,2261,81,14,144,61,11,109,27992,27992,27992,53916,53916,53916,11,2,20,53924,53924,53924
