Date,Antigen Positive Cases by Specimen Date,Antigen Test,Cases by Report Date,Daily Tests Total,Deaths by Date of Death,Molecular (PCR) Positive Cases by Specimen Date,Molecular Test,Positive Test Percentage
3/2/2020,0,,1,,,1,,
3/3/2020,,,0,,,,,
3/4/2020,0,,0,,,1,,
3/5/2020,,,0,,,,,
3/6/2020,,,0,,,,,
3/7/2020,0,,0,,,1,,
3/8/2020,0,,0,,,4,,
3/9/2020,,,1,,,,,
3/10/2020,0,,5,,,5,,
3/11/2020,0,,0,,,11,,
3/12/2020,0,,4,,1,15,,
3/13/2020,0,,4,,,57,,
3/14/2020,0,,8,,,9,,
3/15/2020,0,,9,,,14,,
3/16/2020,0,,1,936,,103,,
3/17/2020,0,,7,295,,109,,
3/18/2020,0,,22,205,,152,,
3/19/2020,0,,35,1696,,161,,
3/20/2020,0,,40,943,,164,,
3/21/2020,0,,47,2192,,76,,
3/22/2020,1,,71,1389,1,72,,
3/23/2020,1,,42,2163,,234,,
3/24/2020,1,,101,529,1,175,,
3/25/2020,0,,106,2446,1,199,,
3/26/2020,0,,132,2793,1,197,,
3/27/2020,0,,128,2667,1,167,,
3/28/2020,1,,171,2910,1,99,,
3/29/2020,0,,232,1638,4,75,,
3/30/2020,0,,140,2082,2,210,,
3/31/2020,0,,191,2787,3,212,,
4/1/2020,0,,86,3435,9,239,,0.075298126
4/2/2020,0,,273,2883,3,222,,0.068212824
4/3/2020,0,,236,3404,11,203,,0.080821918
4/4/2020,0,,309,7629,11,114,,0.084846239
4/5/2020,0,,183,1343,9,86,,0.081929303
4/6/2020,0,,285,852,4,399,,0.078770413
4/7/2020,1,,351,913,9,263,,0.120416254
4/8/2020,0,,205,2431,9,284,,0.090319361
4/9/2020,0,,225,5262,10,327,,0.091695502
4/10/2020,0,,257,10211,7,317,,0.084367246
4/11/2020,0,,404,2875,9,172,,0.112781955
4/12/2020,0,,208,7999,18,112,,0.163450624
4/13/2020,0,,296,1298,17,282,,0.112038141
4/14/2020,0,,208,1968,16,284,,0.110808356
4/15/2020,1,,99,3215,23,376,,0.127625202
4/16/2020,0,,342,3576,26,541,,0.159694107
4/17/2020,0,,394,2472,14,258,,0.118498417
4/18/2020,0,,281,3600,19,139,,0.139646870
4/19/2020,1,,353,2592,15,120,,0.128770824
4/20/2020,0,,271,773,18,438,,0.089878543
4/21/2020,0,,187,4520,20,463,,0.108732394
4/22/2020,0,,269,7796,13,437,,0.106065628
4/23/2020,0,,388,6406,17,506,,0.115840893
4/24/2020,0,,444,4788,16,575,,0.106605625
4/25/2020,0,,571,5298,21,254,,0.088084671
4/26/2020,0,,207,2985,24,120,,0.130287009
4/27/2020,0,,312,2134,15,559,,0.111348123
4/28/2020,0,,426,3751,15,433,,0.080234834
4/29/2020,0,,380,5318,19,436,,0.097699664
4/30/2020,0,,561,6598,14,461,,0.073595506
5/1/2020,0,,414,5490,17,449,,0.070118662
5/2/2020,0,,586,5961,13,182,,0.077537352
5/3/2020,0,,155,5202,19,172,,0.063476238
5/4/2020,0,,184,2701,18,688,,0.065079365
5/5/2020,0,,408,5972,25,551,,0.071476286
5/6/2020,0,,502,9330,12,713,,0.080909572
5/7/2020,1,,639,6871,19,620,,0.083333333
5/8/2020,0,,471,7917,19,545,,0.072640382
5/9/2020,0,,492,7457,11,193,,0.082683676
5/10/2020,0,,404,5318,25,117,,0.064894636
5/11/2020,0,,281,2741,15,766,,0.041035120
5/12/2020,0,,301,6686,18,679,,0.054404792
5/13/2020,0,,470,7919,14,712,,0.071974005
5/14/2020,0,,691,9317,13,758,,0.067030965
5/15/2020,2,,622,13923,8,703,,0.068524360
5/16/2020,0,,853,10708,11,285,,0.070989281
5/17/2020,0,,530,9508,15,193,,0.061026352
5/18/2020,0,,511,8397,12,1062,,0.055945419
5/19/2020,1,,677,8647,19,964,,0.063111275
5/20/2020,0,,423,12313,15,836,,0.073307411
5/21/2020,0,,738,10185,18,862,,0.082934810
5/22/2020,1,,758,11829,20,745,,0.097252614
5/23/2020,0,,1107,9046,21,340,,0.087543144
5/24/2020,0,,497,7154,19,258,,0.081884381
5/25/2020,0,,742,7748,32,369,,0.076557751
5/26/2020,2,,176,3571,28,1363,,0.070648683
5/27/2020,1,,488,11573,25,991,,0.076772543
5/28/2020,0,,784,10116,19,1016,,0.090363090
5/29/2020,0,,1076,16706,20,1113,,0.098795181
5/30/2020,0,,1185,11978,19,443,,0.081692054
5/31/2020,0,,916,13931,21,332,,0.081279218
6/1/2020,0,,674,4552,17,1505,,0.078178694
6/2/2020,2,,626,12313,21,1263,,0.077975673
6/3/2020,1,,888,12966,19,1437,,0.089385475
6/4/2020,2,,1190,18746,10,1344,,0.086599293
6/5/2020,2,,1289,12921,21,1319,,0.097590140
6/6/2020,0,,1370,15790,17,482,,0.093494184
6/7/2020,1,,921,12929,13,434,,0.089964247
6/8/2020,0,,938,9326,21,1654,,0.086421628
6/9/2020,0,,676,15719,13,1547,,0.076224129
6/10/2020,1,,1011,15356,12,1445,,0.085137723
6/11/2020,1,,1310,19471,12,1430,,0.098586855
6/12/2020,0,,1768,22126,12,1435,,0.092833763
6/13/2020,2,,1429,16049,21,684,,0.091269555
6/14/2020,1,,1444,13541,23,545,,0.082481054
6/15/2020,0,,983,12694,8,1690,,0.090401945
6/16/2020,1,,751,13726,9,1582,,0.080483112
6/17/2020,1,,1002,17071,13,1708,,0.082389220
6/18/2020,3,,1335,21412,16,1765,,0.085848106
6/19/2020,5,,1655,24377,17,1611,,0.096285714
6/20/2020,1,,1549,15400,12,757,,0.093470941
6/21/2020,0,,1412,18129,20,698,,0.083740877
6/22/2020,4,,805,11253,9,2027,,0.090898303
6/23/2020,9,,854,15713,18,2079,,0.082740741
6/24/2020,10,,1724,18527,12,1893,,0.077397572
6/25/2020,9,,1024,21238,17,1947,,0.096776329
6/26/2020,18,,1649,19149,15,1954,,0.098594004
6/27/2020,0,,1720,20411,12,934,,0.095116428
6/28/2020,1,,1605,17548,12,1038,,0.081955763
6/29/2020,17,,1349,16374,17,2506,,0.087869771
6/30/2020,13,,1196,18461,22,2294,,0.095970308
7/1/2020,12,,1862,21911,11,2058,,0.083295089
7/2/2020,15,,1639,21474,12,2019,,0.104455099
7/3/2020,9,,2102,20409,12,1347,,0.091761255
7/4/2020,8,,1419,16908,17,581,,0.089506726
7/5/2020,4,,1330,18885,19,761,,0.084126189
7/6/2020,27,,1563,17129,19,2518,,0.091995221
7/7/2020,23,,1367,14821,14,2789,,0.089086168
7/8/2020,20,,1449,18338,17,2540,,0.085753362
7/9/2020,31,,2059,23660,12,2148,,0.093449335
7/10/2020,28,,2007,22280,24,2128,,0.095597657
7/11/2020,13,,2467,24483,17,981,,0.091368064
7/12/2020,5,,1909,27022,27,859,,0.092093789
7/13/2020,34,,1846,18874,13,2466,,0.096167979
7/14/2020,58,,1991,23193,25,2443,,0.078281534
7/15/2020,40,,1816,23132,16,2226,,0.087326488
7/16/2020,46,,2191,22271,22,2075,,0.073152516
7/17/2020,31,,2082,28220,23,1929,,0.084351702
7/18/2020,4,,2486,25799,17,961,,0.081070216
7/19/2020,6,,1820,24440,20,812,,0.069597631
7/20/2020,45,,1291,21111,31,2328,,0.081092801
7/21/2020,67,,1863,19982,25,2276,,0.076069447
7/22/2020,72,,2191,25652,27,2001,,0.078148908
7/23/2020,57,,1945,26648,31,1822,,0.084845638
7/24/2020,54,,2145,22113,22,1951,,0.075026433
7/25/2020,25,,2114,23879,23,871,,0.078474921
7/26/2020,18,,1645,25642,21,706,,0.076798166
7/27/2020,67,,1685,18738,32,2117,,0.071835095
