Coalition,Date,Region or State,Adult ICU Empty ,Adult ICU Full,Adult Intensive Care Unit Staffed Bed Capacity,at_admission_confirmed_covid19_patients_in_24_hrs,at_admission_suspected_covid19_patients_in_24_hrs,ED COVID Visits Previous Day,ED Total Visits Previous Day,full_adult_icu_covid19_positive_patients,Hospitalized and Ventilated COVID Inpatient Count,ICU Licensed Beds,Inpatient Empty Beds (all types),Inpatient Full (all bed types),Licensed Inpatient Beds,Number of COVID-19 Positive Patients In Hospital,Parent Name,TOTAL Staffed Inpatient Capacity (all bed types),Ventilator available,Ventilator used (not specific to COVID-19)
DHPC,3/16/2021,State,18,167,185,12,5,60,692,36,27,424,217,1565,2640,144,7,1782,153,89
THPC,11/29/2020,State,116,439,555,78,17,215,1806,139,57,926,1753,3387,6070,555,29,5140,536,242
DHPC,2/3/2021,State,17,174,191,27,10,91,624,60,49,424,281,1491,2640,216,7,1772,130,112
DHPC,3/17/2021,State,19,166,185,10,5,65,659,38,29,424,248,1539,2640,155,7,1787,153,89
MHPC,12/13/2020,State,70,369,439,74,69,684,2122,145,78,687,1231,3528,4815,619,18,4759,590,272
DHPC,10/28/2020,State,48,146,194,11,6,56,741,14,9,424,308,1471,2640,82,7,1779,148,94
MCRHC,7/11/2020,State,83,379,462,17,108,,,53,,468,626,2048,3301,144,10,2674,458,136
SHPR,3/26/2021,State,46,56,102,6,9,95,493,3,3,112,248,788,1392,31,6,1036,141,33
MCRHC,5/26/2021,State,71,392,463,19,46,225,1673,29,9,468,517,2232,3301,101,12,2749,383,216
MHPC,3/17/2021,State,104,356,460,19,33,308,2230,49,26,687,1240,3558,4815,200,18,4798,638,222
DHPC,2/21/2021,State,14,175,189,8,6,63,580,54,35,424,389,1373,2640,177,7,1762,162,80
MAHPC,4/26/2020,State,61,81,142,,,,,,,247,284,669,1979,6,10,953,153,32
MAHPC,4/17/2020,State,73,88,161,,,,,,,247,524,656,1979,6,14,1180,167,30
MHPC,6/4/2020,State,59,391,450,11,152,,,57,,687,731,3411,4815,152,16,4142,503,236
DHPC,3/5/2021,State,24,164,188,15,3,68,726,42,36,424,414,1358,2640,136,7,1772,142,100
EHPC,1/26/2021,State,61,249,310,53,28,207,1800,63,45,420,690,2326,3851,428,19,3016,371,158
EHPC,11/22/2020,State,88,140,228,31,24,191,1695,40,34,420,847,2039,3851,211,19,2886,334,147
CapRAC,12/23/2020,State,28,141,169,22,29,334,1013,58,23,203,220,940,1418,234,7,1160,135,65
MAHPC,5/31/2021,State,85,110,195,4,14,65,921,10,5,247,614,874,1979,28,16,1488,143,43
EHPC,6/13/2021,State,91,215,306,9,18,130,1733,18,13,420,815,2037,3851,80,19,2852,378,144
SHPR,8/24/2020,State,43,28,71,2,25,,,3,,112,324,617,1392,26,5,941,129,28
THPC,9/23/2020,State,125,438,563,16,13,176,1277,63,27,926,1592,3630,6070,209,29,5222,530,213
DHPC,11/8/2020,State,46,141,187,7,3,43,631,23,13,424,360,1392,2640,77,7,1752,170,72
SHPR,12/23/2020,State,35,56,91,12,17,87,407,9,12,112,273,729,1392,76,6,1002,140,34
DHPC,3/12/2021,State,16,167,183,14,9,63,680,34,26,424,280,1490,2640,143,7,1770,155,87
SHPR,9/1/2020,State,36,35,71,2,27,78,381,4,2,112,251,697,1392,30,5,948,103,54
MCRHC,5/24/2021,State,107,357,464,7,27,212,1538,32,12,468,626,2114,3301,103,12,2740,388,211
DHPC,11/22/2020,State,22,167,189,14,5,69,635,26,15,424,413,1348,2640,114,7,1761,172,70
MCRHC,6/20/2021,State,90,362,452,3,25,116,1489,33,14,468,734,1984,3301,82,12,2718,400,199
DHPC,4/24/2020,State,55,140,195,,,,,,,424,674,1238,2640,61,6,1912,263,101
CapRAC,4/26/2020,State,93,131,224,,,,,,,203,620,1344,1418,73,5,1964,285,53
MAHPC,7/20/2020,State,72,104,176,3,43,,,11,,247,523,853,1979,41,15,1376,132,47
CapRAC,12/21/2020,State,16,152,168,13,31,290,917,47,25,203,189,955,1418,216,7,1144,143,57
DHPC,7/2/2020,State,46,186,232,8,4,,,33,,424,443,1608,2640,108,7,2051,185,86
CapRAC,11/5/2020,State,38,131,169,4,15,254,1048,17,10,203,206,867,1418,66,7,1073,160,40
MHPC,2/9/2021,State,74,393,467,60,42,443,2511,131,83,687,1098,3680,4815,510,18,4778,612,300
CapRAC,3/30/2021,State,27,150,177,6,18,327,1195,22,8,203,172,998,1418,86,7,1170,156,44
THPC,9/21/2020,State,134,420,554,11,10,151,1111,69,25,926,1760,3424,6070,172,29,5184,481,262
THPC,1/1/2021,State,69,473,542,123,23,309,1670,213,110,926,1354,3658,6070,956,29,5012,528,284
MHPC,9/13/2020,State,107,314,421,26,69,383,1730,66,47,687,1214,3160,4815,200,17,4374,503,216
CapRAC,7/31/2020,State,40,129,169,9,25,,,42,,203,376,782,1418,100,5,1158,151,51
MHPC,1/11/2021,State,53,401,454,94,55,541,2131,220,140,687,1044,3724,4815,1034,18,4768,563,308
CapRAC,8/10/2020,State,34,135,169,1,26,,,27,,203,361,809,1418,86,5,1170,157,45
SHPR,7/3/2020,State,16,53,69,5,1,,,10,,112,121,834,1392,43,6,955,133,37
DHPC,9/3/2020,State,18,152,170,43,41,72,663,23,8,424,346,1459,2640,79,6,1805,147,91
SHPR,7/19/2020,State,26,51,77,3,2,,,14,,112,328,659,1392,60,6,987,139,29
CapRAC,6/3/2020,State,65,159,224,21,10,,,37,,203,463,1539,1418,80,5,2002,243,85
MCRHC,5/27/2021,State,75,391,466,11,30,181,1654,34,10,468,552,2201,3301,103,12,2753,381,218
MHPC,8/29/2020,State,96,336,432,27,134,0,0,62,47,687,1268,3418,4815,243,16,4686,572,208
DHPC,4/11/2020,State,46,117,163,,,,,,,424,580,959,2640,34,4,1539,239,83
SHPR,4/13/2021,State,50,52,102,4,13,76,534,0,0,112,271,765,1392,28,6,1036,145,29
THPC,7/4/2020,State,127,375,502,16,72,,,51,,926,1326,3103,6070,196,19,4429,432,198
EHPC,5/31/2021,State,103,203,306,10,13,111,1643,29,13,420,863,1976,3851,108,19,2839,384,138
EHPC,1/8/2021,State,60,248,308,55,29,324,1771,85,52,420,686,2321,3851,521,19,3007,354,179
MAHPC,5/25/2020,State,57,70,127,,,,,,,247,264,687,1979,12,7,951,137,34
MAHPC,12/29/2020,State,58,147,205,38,48,89,438,69,17,247,499,1056,1979,213,16,1555,137,53
EHPC,5/3/2021,State,90,215,305,14,19,169,1829,37,23,420,874,2081,3851,136,19,2955,396,129
EHPC,5/31/2020,State,-1,240,239,,,,,,,420,535,1393,3851,90,15,1928,288,104
SHPR,5/2/2021,State,49,54,103,4,15,90,532,8,8,112,314,723,1392,33,6,1037,146,28
MCRHC,12/1/2020,State,78,394,472,33,54,237,1552,62,22,468,570,2197,3301,237,12,2767,474,125
MAHPC,10/16/2020,State,54,125,179,9,29,54,401,20,6,247,464,1028,1979,60,16,1492,142,47
MHPC,11/16/2020,State,76,351,427,40,133,595,2212,86,60,687,1197,3454,4815,363,18,4651,571,248
DHPC,5/20/2020,State,37,155,192,,,,,,,424,366,1548,2640,71,6,1914,311,96
MAHPC,4/6/2020,State,74,82,156,,,,,,,247,561,682,1979,7,13,1243,173,34
MAHPC,5/11/2021,State,91,103,194,8,26,80,904,10,4,247,557,955,1979,45,16,1512,147,39
MCRHC,6/18/2020,State,95,262,357,8,73,,,45,,468,288,2450,3301,95,10,2738,288,122
MCRHC,10/21/2020,State,76,394,470,14,44,182,1461,32,12,468,557,2164,3301,120,12,2721,478,116
CapRAC,10/12/2020,State,28,141,169,3,22,158,996,25,8,203,167,906,1418,59,7,1073,163,37
MAHPC,8/16/2020,State,65,83,148,3,33,,,9,,247,411,716,1979,45,10,1127,116,37
CapRAC,3/9/2021,State,28,149,177,7,11,288,1124,25,11,203,218,950,1418,74,7,1168,147,53
DHPC,12/25/2020,State,24,173,197,24,8,92,553,46,27,424,545,1186,2640,188,7,1731,142,99
EHPC,11/3/2020,State,77,223,300,28,43,196,1736,40,26,420,755,2158,3851,179,19,2913,330,151
MCRHC,2/23/2021,State,105,364,469,25,54,192,1429,54,24,468,674,2095,3301,202,12,2769,421,142
THPC,8/30/2020,State,167,384,551,24,24,7,128,58,16,926,1871,3302,6070,219,23,5173,473,256
SHPR,8/15/2020,State,29,48,77,1,21,,,9,,112,272,680,1392,29,6,952,135,35
DHPC,6/30/2020,State,26,152,178,12,5,,,36,,424,404,1359,2640,103,5,1763,147,84
THPC,2/27/2021,State,142,418,560,33,9,183,1687,67,36,926,1520,3502,6070,304,29,5022,643,186
THPC,10/24/2020,State,115,438,553,66,25,153,1268,95,32,926,1680,3536,6070,295,29,5216,541,206
SHPR,6/7/2020,State,14,52,66,2,1,,,12,,112,205,735,1392,24,5,940,134,33
DHPC,5/25/2021,State,18,168,186,6,5,44,928,20,15,424,272,1498,2640,68,7,1770,145,97
THPC,10/8/2020,State,113,455,568,49,22,156,1242,73,23,926,1608,3676,6070,268,29,5284,542,197
MCRHC,5/20/2020,State,117,242,359,,,,,,,468,389,2276,3301,86,10,2665,319,100
CapRAC,12/14/2020,State,15,154,169,16,32,303,982,46,24,203,174,969,1418,206,7,1143,143,57
DHPC,12/20/2020,State,24,162,186,21,5,81,577,33,18,424,427,1295,2640,153,7,1722,160,82
MAHPC,1/23/2021,State,68,131,199,33,38,75,308,46,18,247,485,982,1979,184,15,1467,124,56
MCRHC,7/12/2020,State,84,378,462,6,16,,,56,,468,655,1982,3301,147,10,2637,458,136
EHPC,4/8/2020,State,97,168,265,,,,,,,420,1013,1346,3851,56,17,2359,327,113
EHPC,5/12/2021,State,89,219,308,17,17,177,1972,33,20,420,828,2138,3851,123,19,2966,374,148
CapRAC,4/6/2021,State,28,149,177,8,17,311,1181,24,13,203,203,960,1418,89,7,1163,141,59
MCRHC,5/10/2020,State,117,242,359,,,,,,,468,727,2063,3301,79,10,2790,333,92
CapRAC,10/29/2020,State,26,143,169,5,19,276,1095,25,9,203,158,917,1418,81,7,1075,166,34
MCRHC,4/15/2021,State,93,376,469,16,34,184,1596,34,10,468,636,2137,3301,130,12,2773,455,144
CapRAC,6/24/2020,State,48,209,257,22,11,,,56,,203,440,1586,1418,160,5,2026,247,98
MHPC,3/13/2021,State,103,357,460,29,48,310,2324,50,30,687,1389,3435,4815,213,18,4824,643,218
CapRAC,3/11/2021,State,33,144,177,3,20,287,1032,21,8,203,197,967,1418,69,7,1164,149,51
MAHPC,2/14/2021,State,79,126,205,8,19,77,717,22,8,247,565,990,1979,104,16,1555,142,44
CapRAC,4/12/2020,State,85,137,222,,,,,,,203,773,1176,1418,73,5,1949,277,63
DHPC,7/17/2020,State,26,183,209,19,4,,,46,,424,385,1639,2640,129,7,2024,189,81
EHPC,2/2/2021,State,46,261,307,53,30,207,1599,76,49,420,786,2227,3851,374,19,3013,352,173
MAHPC,10/20/2020,State,71,108,179,13,37,54,375,14,4,247,505,982,1979,53,15,1487,140,49
DHPC,8/18/2020,State,30,143,173,7,18,,,21,,424,335,1446,2640,68,6,1781,164,77
EHPC,1/16/2021,State,65,245,310,45,29,228,1577,83,55,420,801,2207,3851,462,19,3008,344,185
SHPR,5/7/2020,State,28,44,72,,,,,,,112,221,744,1392,16,6,965,138,32
MCRHC,11/1/2020,State,105,366,471,14,36,142,1185,39,17,468,725,1993,3301,139,12,2718,458,137
CapRAC,5/25/2021,State,37,140,177,4,20,383,1393,16,6,203,188,962,1418,50,7,1150,176,34
DHPC,5/9/2020,State,21,154,175,,,,,,,424,448,1362,2640,75,5,1810,308,84
MAHPC,11/21/2020,State,64,115,179,13,34,55,402,17,9,247,478,1016,1979,60,16,1494,137,52
DHPC,5/23/2021,State,31,151,182,4,3,45,737,15,10,424,399,1334,2640,65,7,1733,157,85
EHPC,10/20/2020,State,55,247,302,26,18,171,1727,56,31,420,632,2295,3851,251,19,2927,335,132
CapRAC,4/25/2020,State,90,134,224,,,,,,,203,517,1364,1418,80,5,1881,282,58
MAHPC,6/24/2021,State,63,116,179,0,19,48,901,4,2,247,500,983,1979,22,16,1483,141,42
SHPR,9/30/2020,State,41,36,77,5,39,82,431,6,5,112,251,765,1392,24,6,1016,140,30
MCRHC,10/18/2020,State,96,374,470,19,47,167,1265,30,16,468,719,2007,3301,126,12,2726,463,131
DHPC,4/2/2021,State,24,158,182,14,3,71,714,28,19,424,385,1378,2640,118,7,1763,148,94
CapRAC,3/1/2021,State,23,154,177,5,22,250,1066,25,13,203,216,953,1418,104,7,1169,142,58
CapRAC,1/11/2021,State,21,148,169,20,39,322,1024,66,27,203,205,951,1418,252,7,1156,131,69
MCRHC,5/9/2021,State,87,377,464,13,31,207,1440,44,16,468,701,2063,3301,149,12,2764,471,128
MAHPC,2/12/2021,State,72,133,205,12,34,110,811,27,12,247,547,1013,1979,103,16,1560,129,57
MAHPC,4/21/2021,State,79,115,194,13,35,112,876,17,8,247,540,986,1979,76,16,1526,141,45
EHPC,4/24/2020,State,88,179,267,,,,,,,420,902,1310,3851,68,16,2212,342,99
CapRAC,11/9/2020,State,30,139,169,5,19,271,1016,20,11,203,208,868,1418,72,7,1076,165,35
MHPC,7/15/2020,State,45,373,418,41,114,,,68,,687,623,3441,4815,312,16,4064,549,220
SHPR,6/14/2020,State,15,44,59,2,0,,,12,,112,147,705,1392,28,3,852,113,37
MHPC,9/15/2020,State,90,337,427,25,83,407,2284,64,42,687,1161,3265,4815,214,18,4426,533,232
DHPC,7/26/2020,State,17,145,162,9,8,,,29,,424,436,1263,2640,123,5,1699,160,73
MHPC,12/6/2020,State,71,358,429,65,109,539,2152,116,60,687,1032,3620,4815,553,18,4652,573,284
CapRAC,10/11/2020,State,27,142,169,2,29,174,1008,24,7,203,177,896,1418,59,7,1073,160,40
MCRHC,4/3/2021,State,131,339,470,16,15,144,1323,43,15,468,838,1936,3301,126,12,2774,468,131
CapRAC,12/10/2020,State,28,141,169,17,30,345,1067,48,17,203,164,979,1418,191,7,1143,153,47
THPC,5/9/2021,State,107,390,497,30,6,191,1803,48,31,926,1409,3360,6070,206,28,4769,615,188
CapRAC,5/10/2021,State,24,153,177,4,11,277,1033,17,9,203,178,976,1418,80,7,1154,162,48
CapRAC,4/10/2020,State,9,31,40,,,,,,,203,74,129,1418,14,2,203,23,11
